pair_id,layer,cosine_dist
0,0,1.7881393432617188e-07
0,1,2.4318695068359375e-05
0,2,4.839897155761719e-05
0,3,0.00020968914031982422
0,4,0.0018876194953918457
0,5,0.003179192543029785
0,6,0.003825664520263672
0,7,0.006150305271148682
0,8,0.008648514747619629
0,9,0.011135101318359375
0,10,0.015520870685577393
0,11,0.016774296760559082
0,12,0.016930103302001953
0,13,0.01636362075805664
0,14,0.016955137252807617
0,15,0.016585946083068848
0,16,0.0151747465133667
0,17,0.013736128807067871
0,18,0.012043356895446777
0,19,0.011424481868743896
0,20,0.011152207851409912
0,21,0.011155486106872559
0,22,0.010788798332214355
0,23,0.010227441787719727
0,24,0.00955665111541748
0,25,0.009015798568725586
0,26,0.008832693099975586
0,27,0.009174466133117676
0,28,0.010118186473846436
0,29,0.011410236358642578
0,30,0.011210203170776367
0,31,0.011018335819244385
0,32,0.011164069175720215
1,0,1.7881393432617188e-07
1,1,2.2709369659423828e-05
1,2,7.432699203491211e-05
1,3,0.00048482418060302734
1,4,0.0020242929458618164
1,5,0.0030118227005004883
1,6,0.0031981468200683594
1,7,0.004224836826324463
1,8,0.005918741226196289
1,9,0.00783604383468628
1,10,0.012305855751037598
1,11,0.013529777526855469
1,12,0.014382243156433105
1,13,0.014390766620635986
1,14,0.015101194381713867
1,15,0.015389442443847656
1,16,0.01430213451385498
1,17,0.01318061351776123
1,18,0.011831283569335938
1,19,0.010686397552490234
1,20,0.010176777839660645
1,21,0.010197341442108154
1,22,0.00980520248413086
1,23,0.009069204330444336
1,24,0.00842142105102539
1,25,0.007916927337646484
1,26,0.007846653461456299
1,27,0.008187413215637207
1,28,0.00889676809310913
1,29,0.009766757488250732
1,30,0.009338200092315674
1,31,0.009329438209533691
1,32,0.010095953941345215
2,0,1.7881393432617188e-07
2,1,3.4928321838378906e-05
2,2,9.238719940185547e-05
2,3,0.00034224987030029297
2,4,0.001961827278137207
2,5,0.0034134984016418457
2,6,0.004610419273376465
