layer,pair_id,delta_h_norm,projected_norm,ratio,d_fr_scrubbed
0,0,0.0,0.0,0.0,
0,1,0.0,0.0,0.0,
0,2,0.0,0.0,0.0,
0,3,0.0,0.0,0.0,
0,4,0.0,0.0,0.0,
0,5,0.0,0.0,0.0,
0,6,0.0,0.0,0.0,
0,7,0.0,0.0,0.0,
0,8,0.0,0.0,0.0,
0,9,0.0,0.0,0.0,
0,10,0.0,0.0,0.0,
0,11,0.0,0.0,0.0,
0,12,0.0,0.0,0.0,
0,13,0.0,0.0,0.0,
0,14,0.0,0.0,0.0,
0,15,0.0,0.0,0.0,
1,0,1.5793893337249756,11.666681289672852,0.01969285712503161,
1,1,0.6217707395553589,4.402583599090576,0.018876780584692342,
1,2,1.4103928804397583,10.289359092712402,0.01944906885647284,
1,3,0.6007828712463379,4.4746809005737305,0.019856153654486758,
1,4,1.5993776321411133,11.49582576751709,0.019161952168345004,
1,5,0.8213790655136108,5.964651584625244,0.01935940686030169,
1,6,1.4813305139541626,10.590354919433594,0.019059396408856306,
1,7,0.9681810736656189,7.026622772216797,0.01934820351859886,
1,8,2.2663841247558594,18.452028274536133,0.021705069897717942,
1,9,0.6774023175239563,4.968525409698486,0.019553811933009035,
1,10,1.743942141532898,12.718155860900879,0.01944207738473788,
1,11,1.984764814376831,16.19659996032715,0.02175531621826522,
1,12,1.3807148933410645,10.160243034362793,0.019617817214374295,
1,13,0.6285760402679443,4.529257297515869,0.01920966391693964,
1,14,1.317317008972168,9.474111557006836,0.019173384939694477,
1,15,0.5466337203979492,4.083946228027344,0.0199174709928667,
2,0,2.182370185852051,16.262897491455078,0.019866442351890612,
2,1,1.1924644708633423,8.931838035583496,0.019968525066241315,
2,2,1.8408619165420532,13.782187461853027,0.019959402506834204,
2,3,1.1477994918823242,8.595312118530273,0.01996393836134119,
2,4,2.141982316970825,15.390872955322266,0.019155697440479194,
2,5,1.4208440780639648,10.808664321899414,0.020280385437054942,
2,6,2.0086653232574463,14.661601066589355,0.019459174519496795,
2,7,1.472907543182373,11.046128273010254,0.019993332684377713,
2,8,2.689640998840332,22.060514450073242,0.021866129534173884,
2,9,1.230594277381897,9.462451934814453,0.02049931703318614,
2,10,2.351026773452759,17.064626693725586,0.01935039407570939,
2,11,2.3109092712402344,19.039710998535156,0.021964840494033328,
2,12,1.796412706375122,13.87117862701416,0.02058533044816015,
2,13,1.1293299198150635,8.593695640563965,0.02028662171224363,
2,14,1.7271767854690552,12.828522682189941,0.01980115170287963,
2,15,1.012810468673706,8.045770645141602,0.021178249645930985,
3,0,2.450986385345459,17.582130432128906,0.019124108343895333,
3,1,1.5435822010040283,11.284194946289062,0.019489083446064377,
3,2,2.0204389095306396,14.482878684997559,0.019109959474948406,
3,3,1.4426689147949219,10.572385787963867,0.019536957189327325,
3,4,3.6374597549438477,29.50033950805664,0.02162118107422536,
3,5,2.891432523727417,23.62920379638672,0.021786457686669383,
3,6,3.2210540771484375,25.23024559020996,0.020882094587913798,
3,7,2.8375895023345947,24.535587310791016,0.023051409515495367,
3,8,3.201655149459839,24.084218978881836,0.020054350996984365,
3,9,2.4669241905212402,19.723852157592773,0.021315058635036244,
3,10,3.225025177001953,23.723543167114258,0.019610878084258907,
3,11,2.7575478553771973,21.152931213378906,0.02045022524583167,
3,12,2.580528736114502,18.70832633972168,0.019327551274345666,
3,13,2.1662437915802,15.756766319274902,0.01939145335905763,
3,14,2.5691235065460205,18.258756637573242,0.018946841155379215,
3,15,1.9647287130355835,14.980267524719238,0.02032673259712219,
4,0,3.1168107986450195,22.603626251220703,0.019333846871766504,
4,1,2.2634758949279785,16.768056869506836,0.019749561672221718,
4,2,2.692246198654175,19.53912925720215,0.019348220593641725,
4,3,2.4229934215545654,18.284679412841797,0.020118042068494848,
4,4,4.68150520324707,36.41366958618164,0.02073621721464308,
4,5,3.959320068359375,30.954187393188477,0.020842479979843193,
4,6,4.302155494689941,33.36885070800781,0.020677867230493373,
4,7,3.9355738162994385,33.216190338134766,0.02250050962308461,
4,8,3.795743227005005,29.09588050842285,0.020435500345149963,
4,9,3.513427734375,29.809120178222656,0.02261875672076339,
4,10,4.0601301193237305,31.883569717407227,0.020935222656064456,
4,11,3.5772387981414795,28.178482055664062,0.021000046617358187,
4,12,3.6721031665802,26.60936737060547,0.019318360766349317,
4,13,3.305880546569824,24.165178298950195,0.019487379544736574,
4,14,3.6344802379608154,26.77405548095703,0.019639139001772932,
4,15,3.749389886856079,28.904226303100586,0.020551869896971317,
5,0,3.8222715854644775,27.448638916015625,0.01914475747066039,
5,1,2.7046267986297607,19.85124969482422,0.01956730894000292,
5,2,3.1707231998443604,24.047792434692383,0.020219363554028705,
5,3,3.172128200531006,23.937406539916992,0.02011763672438917,
5,4,6.527381896972656,47.494327545166016,0.01939783751396783,
5,5,5.740678310394287,39.752769470214844,0.01846098102532548,
5,6,6.056550025939941,44.33354568481445,0.019514514657274006,
5,7,5.451448917388916,37.315650939941406,0.018248605043252902,
5,8,5.185938358306885,37.849510192871094,0.019457341894981797,
5,9,5.192043781280518,37.46852111816406,0.019238836448554862,
5,10,5.413759708404541,39.16989517211914,0.019288747611779462,
5,11,4.5836639404296875,31.87592124938965,0.01853960909822674,
5,12,4.631808280944824,34.74584197998047,0.01999875049364369,
5,13,4.034570217132568,29.98244285583496,0.019811635682993295,
5,14,4.656183242797852,35.34367370605469,0.02023635187285385,
5,15,5.1871113777160645,39.691123962402344,0.02039944823716223,
6,0,4.113320827484131,30.41630744934082,0.019713534697673674,
