washout_tokens,d_fr_target,H_mean,H_std
50,0.29902517795562744,1.976921260356903,0.36374033132311134
100,0.3512820303440094,1.717643789947033,0.6312686370576669
150,0.25136035680770874,1.518294334411621,0.6159799670685341
200,0.5078799724578857,1.7717924639582634,0.5812337535227876
