pair_id,fin_idx,nat_idx,layer,cosine_dist,l2_dist,l2_relative,norm_A,norm_B
0,0,0,0,1.1920928955078125e-07,0.0,0.0,1.4634196758270264,1.4634196758270264
0,0,0,1,0.004164338111877441,1.5793898105621338,0.09158263671199521,17.31161880493164,17.179412841796875
0,0,0,2,0.0035839080810546875,2.182370901107788,0.08467595850016087,25.754531860351562,25.791879653930664
0,0,0,3,0.0033755898475646973,2.450986862182617,0.08232348990511058,29.848426818847656,29.696834564208984
0,0,0,4,0.004445672035217285,3.116811990737915,0.09435995031471658,33.089847564697266,32.97233200073242
0,0,0,5,0.005566716194152832,3.822272539138794,0.10584686082234773,36.26249694824219,35.9601936340332
0,0,0,6,0.005806863307952881,4.1133222579956055,0.10784192778805797,38.21884536743164,38.0654411315918
0,0,0,7,0.009395122528076172,5.706485748291016,0.1372980546197017,41.72471618652344,41.40079879760742
0,0,0,8,0.012352705001831055,7.070167541503906,0.15758766484607226,45.1199951171875,44.60996627807617
0,0,0,9,0.014554500579833984,8.195694923400879,0.17219703818519122,48.151268005371094,47.0384635925293
0,0,0,10,0.01857614517211914,10.105628967285156,0.19398356793038551,52.667015075683594,51.52355194091797
0,0,0,11,0.019737958908081055,11.028055191040039,0.20071549549298728,55.72985076904297,54.1575813293457
0,0,0,12,0.020303547382354736,11.740312576293945,0.2025667406237226,58.559207916259766,57.356292724609375
0,0,0,13,0.02293795347213745,13.217784881591797,0.21466064206210234,62.016807556152344,61.13371276855469
0,0,0,14,0.023099958896636963,13.792814254760742,0.21584102792690196,64.53507232666016,63.270233154296875
0,0,0,15,0.02323019504547119,14.506772994995117,0.2172167441679809,67.68775177001953,65.8818130493164
0,0,0,16,0.02207791805267334,14.41895866394043,0.21166932589600312,68.99220275878906,67.24821472167969
0,0,0,17,0.020581364631652832,15.022322654724121,0.20370185637634308,74.42167663574219,73.0715560913086
0,0,0,18,0.018483638763427734,14.85043716430664,0.19238710155670868,77.45178985595703,76.92900848388672
0,0,0,19,0.015716373920440674,14.433768272399902,0.17729413283976017,81.38688659667969,81.43596649169922
0,0,0,20,0.013748109340667725,14.237714767456055,0.16601745314749275,85.41134643554688,86.1093521118164
0,0,0,21,0.01313406229019165,14.914655685424805,0.16288084214722112,90.82422637939453,92.31156158447266
0,0,0,22,0.011322557926177979,14.935050010681152,0.15147150214244573,97.7456283569336,99.45384216308594
0,0,0,23,0.01012808084487915,15.15514087677002,0.14338377774349925,104.77449035644531,106.61819458007812
0,0,0,24,0.009133756160736084,15.859392166137695,0.13641468162471843,115.18228149414062,117.33509826660156
0,0,0,25,0.008199453353881836,16.036590576171875,0.12873991587661204,123.73986053466797,125.39173889160156
0,0,0,26,0.007678627967834473,16.717182159423828,0.12454194559452422,133.39549255371094,135.06317138671875
0,0,0,27,0.007355093955993652,17.4168643951416,0.12176075261719961,142.27163696289062,143.81175231933594
0,0,0,28,0.007415950298309326,18.461811065673828,0.12203466032847833,150.6935577392578,151.8731231689453
0,0,0,29,0.008053183555603027,20.071857452392578,0.12695296590818284,157.84921264648438,158.36013793945312
0,0,0,30,0.00760197639465332,21.09385108947754,0.12403450671172946,168.91978454589844,171.20896911621094
0,0,0,31,0.008305788040161133,23.278181076049805,0.1316072563999916,174.51670837402344,179.23553466796875
0,0,0,32,0.009185075759887695,9.77196216583252,0.13563398263761337,71.86087036132812,72.23225402832031
1,0,1,0,1.1920928955078125e-07,0.0,0.0,1.4634196758270264,1.4634196758270264
1,0,1,1,0.0006557703018188477,0.6217707991600037,0.036245795986718385,17.14221954345703,17.16635513305664
1,0,1,2,0.0010623931884765625,1.1924645900726318,0.04633831479242014,25.672809600830078,25.79494857788086
1,0,1,3,0.0013519525527954102,1.543582558631897,0.05200889681882262,29.664119720458984,29.694284439086914
1,0,1,4,0.0023586153984069824,2.2634763717651367,0.06868392857184198,32.948551177978516,32.96137619018555
1,0,1,5,0.00280153751373291,2.704627275466919,0.07487650161192644,36.15465545654297,36.08769607543945
1,0,1,6,0.0036750435829162598,3.3246169090270996,0.08575838472477891,38.808292388916016,38.72621154785156
1,0,1,7,0.00706636905670166,5.086892127990723,0.11943140812815316,42.836814880371094,42.348350524902344
1,0,1,8,0.008750975131988525,6.145942211151123,0.1326970130811155,46.555335998535156,46.075870513916016
1,0,1,9,0.010005295276641846,6.998268127441406,0.14222101836864695,49.5694580078125,48.844520568847656
1,0,1,10,0.014228343963623047,9.122284889221191,0.1691746958867776,54.268192291259766,53.57636260986328
1,0,1,11,0.015650689601898193,9.996675491333008,0.17711802409445074,56.676719665527344,56.204795837402344
1,0,1,12,0.0161135196685791,10.584417343139648,0.17951932875552737,58.96893310546875,58.95059585571289
1,0,1,13,0.019242525100708008,12.25830078125,0.19637920943654708,62.141666412353516,62.70149612426758
1,0,1,14,0.020281493663787842,13.018549919128418,0.2014144340564042,64.5640869140625,64.70718383789062
1,0,1,15,0.021558165550231934,14.016922950744629,0.20768586444903098,67.63098907470703,67.3509750366211
1,0,1,16,0.02032482624053955,13.887475967407227,0.2016211074322961,68.91494750976562,68.84320831298828
1,0,1,17,0.019321978092193604,14.699906349182129,0.19675374056240078,74.40250396728516,75.02191162109375
1,0,1,18,0.016521215438842773,14.273305892944336,0.18294075659544712,77.21398162841797,78.82894897460938
1,0,1,19,0.01440882682800293,14.135963439941406,0.1721065275171997,80.96686553955078,83.30306243896484
1,0,1,20,0.012601315975189209,14.056167602539062,0.16269590731092198,84.85256958007812,87.93810272216797
